epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5139,0.95799,2.44519,1.36361,1,0.38219,0.97337,0.71713,0.92673,2.80649,1.49421,0.00034296,0.00034296,0.00034296
2,126.615,0.9719,1.47713,1.31123,0.84609,0.86823,0.93332,0.6289,1.09605,2.41176,1.6609,0.000693278,0.000693278,0.000693278
3,187.705,0.96918,1.3601,1.29282,0.97399,0.97885,0.99399,0.72087,1.03893,1.80701,1.69054,0.00103652,0.00103652,0.00103652
4,248.699,0.967,1.37222,1.32057,0.53338,0.73474,0.80784,0.45875,1.21356,2.76786,1.78236,0.00137269,0.00137269,0.00137269
5,309.426,0.95869,1.28394,1.29593,0.94367,0.83771,0.93759,0.63822,1.20652,1.95908,1.7049,0.00137241,0.00137241,0.00137241
6,369.977,0.93986,1.24502,1.30428,0.68741,0.93702,0.94155,0.56215,1.31874,2.44645,1.94676,0.00135826,0.00135826,0.00135826
7,430.771,0.95294,1.14198,1.29441,0.83503,0.85219,0.90428,0.62768,1.06951,1.99533,1.59934,0.00134412,0.00134412,0.00134412
8,491.057,0.91663,1.10528,1.28076,0.97208,0.9282,0.99102,0.67525,1.15809,1.6006,1.6741,0.00132997,0.00132997,0.00132997
9,551.778,0.90677,1.03802,1.27896,0.95928,0.97206,0.98587,0.64684,1.22926,1.53776,1.64892,0.00131582,0.00131582,0.00131582
10,612.118,0.89817,1.01208,1.25369,0.92559,0.86297,0.95188,0.58662,1.30205,1.78243,1.796,0.00130168,0.00130168,0.00130168
11,681.944,0.90104,0.9653,1.26748,0.8359,0.91582,0.98318,0.74465,0.91414,1.38924,1.42224,0.00128753,0.00128753,0.00128753
12,754.374,0.87953,0.96105,1.22968,0.9909,0.99907,0.995,0.68054,1.11094,1.27881,1.70033,0.00127338,0.00127338,0.00127338
13,826.6,0.88931,0.90087,1.21553,0.99231,1,0.995,0.75677,0.92501,1.06032,1.45146,0.00125923,0.00125923,0.00125923
14,895.171,0.88255,0.89371,1.23775,0.99637,1,0.995,0.74489,1.01189,1.0263,1.50915,0.00124509,0.00124509,0.00124509
15,963.826,0.85434,0.85068,1.22554,0.97811,0.98739,0.99358,0.756,0.99298,1.08998,1.53768,0.00123094,0.00123094,0.00123094
16,1032.71,0.81169,0.80978,1.20291,0.9915,1,0.995,0.73921,0.98274,1.01963,1.4786,0.00121679,0.00121679,0.00121679
17,1101.15,0.86979,0.78779,1.207,0.99663,1,0.995,0.73167,0.99367,0.97548,1.50248,0.00120265,0.00120265,0.00120265
18,1168.8,0.79548,0.75889,1.17836,0.99431,1,0.995,0.74569,0.93831,0.90734,1.41047,0.0011885,0.0011885,0.0011885
19,1236.29,0.76741,0.73597,1.15041,0.997,1,0.995,0.78466,0.87261,0.82539,1.37512,0.00117435,0.00117435,0.00117435
20,1304.03,0.81276,0.70353,1.17217,0.99485,1,0.995,0.76816,0.92497,0.81248,1.43866,0.00116021,0.00116021,0.00116021
21,1372.44,0.78256,0.68722,1.17857,0.99106,1,0.995,0.75007,0.94629,0.84706,1.4327,0.00114606,0.00114606,0.00114606
22,1440.82,0.78998,0.69459,1.163,0.91738,0.95833,0.95715,0.7209,0.92861,0.96895,1.35887,0.00113191,0.00113191,0.00113191
23,1509.56,0.75648,0.63167,1.1328,0.99539,1,0.995,0.77756,0.88053,0.73683,1.36694,0.00111776,0.00111776,0.00111776
24,1578.33,0.78101,0.68977,1.21355,0.99196,1,0.995,0.74802,0.93326,0.74632,1.41541,0.00110362,0.00110362,0.00110362
25,1647.65,0.77143,0.6736,1.16044,0.99036,1,0.995,0.76437,0.90752,0.71443,1.37818,0.00108947,0.00108947,0.00108947
26,1716.88,0.77181,0.65198,1.15817,0.98699,1,0.995,0.74743,0.93527,0.72351,1.38912,0.00107532,0.00107532,0.00107532
27,1787.04,0.75921,0.61875,1.13977,0.99292,1,0.995,0.74772,0.94998,0.71357,1.40331,0.00106118,0.00106118,0.00106118
28,1855.77,0.73167,0.61283,1.13007,0.99593,1,0.995,0.77876,0.8429,0.67556,1.31912,0.00104703,0.00104703,0.00104703
29,1923.43,0.75299,0.61739,1.16048,0.98906,1,0.995,0.76235,0.90009,0.65131,1.32111,0.00103288,0.00103288,0.00103288
30,1990.34,0.77971,0.60563,1.16825,0.99051,1,0.995,0.79139,0.80274,0.64021,1.26011,0.00101873,0.00101873,0.00101873
31,2057.28,0.719,0.579,1.12769,0.99805,1,0.995,0.8103,0.78374,0.57817,1.26303,0.00100459,0.00100459,0.00100459
32,2121.7,0.73675,0.56075,1.13295,0.99725,1,0.995,0.80191,0.82234,0.55547,1.31872,0.00099044,0.00099044,0.00099044
33,2188.7,0.73098,0.57384,1.12862,0.99816,1,0.995,0.79112,0.83873,0.58973,1.31359,0.000976293,0.000976293,0.000976293
34,2255.85,0.72416,0.55221,1.12335,0.99783,1,0.995,0.80009,0.82148,0.56323,1.31725,0.000962146,0.000962146,0.000962146
35,2323.23,0.71089,0.53081,1.10769,0.99744,1,0.995,0.79641,0.81024,0.53749,1.2831,0.000947999,0.000947999,0.000947999
36,2390.37,0.68736,0.53799,1.10673,0.99802,1,0.995,0.80044,0.82471,0.53055,1.29943,0.000933851,0.000933851,0.000933851
37,2457.46,0.7039,0.49895,1.08181,0.99817,1,0.995,0.79096,0.83824,0.52488,1.32698,0.000919704,0.000919704,0.000919704
38,2524.43,0.69841,0.51134,1.12674,0.9978,1,0.995,0.80504,0.82091,0.51729,1.30451,0.000905557,0.000905557,0.000905557
39,2591.27,0.71005,0.52266,1.12977,0.99287,1,0.995,0.78501,0.83003,0.52,1.28767,0.00089141,0.00089141,0.00089141
40,2658.47,0.71074,0.50131,1.11984,0.99772,1,0.995,0.8122,0.79398,0.52114,1.24354,0.000877263,0.000877263,0.000877263
41,2725.21,0.68698,0.52187,1.10897,0.99486,1,0.995,0.79873,0.80577,0.53416,1.24595,0.000863116,0.000863116,0.000863116
42,2792.46,0.67505,0.48973,1.08919,0.99751,1,0.995,0.79368,0.84901,0.50501,1.3246,0.000848969,0.000848969,0.000848969
43,2859.88,0.70597,0.50686,1.07514,0.99819,1,0.995,0.78362,0.85527,0.52124,1.33814,0.000834822,0.000834822,0.000834822
44,2927.44,0.67534,0.49845,1.09846,0.99784,1,0.995,0.77904,0.84227,0.4971,1.31156,0.000820675,0.000820675,0.000820675
45,2994.82,0.67126,0.48366,1.10491,0.9974,1,0.995,0.79119,0.859,0.51474,1.33528,0.000806528,0.000806528,0.000806528
46,3062.43,0.67292,0.47696,1.07859,0.99786,1,0.995,0.81378,0.79535,0.47765,1.25756,0.00079238,0.00079238,0.00079238
47,3130.3,0.68212,0.49936,1.10602,0.99674,1,0.995,0.79798,0.84265,0.47839,1.31068,0.000778233,0.000778233,0.000778233
48,3195.21,0.67732,0.49255,1.09201,0.99713,1,0.995,0.77656,0.84555,0.46796,1.31162,0.000764086,0.000764086,0.000764086
49,3263.19,0.69756,0.50188,1.11566,0.99661,1,0.995,0.77551,0.88144,0.4664,1.3349,0.000749939,0.000749939,0.000749939
50,3329.81,0.62809,0.45684,1.0758,0.9936,1,0.995,0.78712,0.81825,0.46668,1.26423,0.000735792,0.000735792,0.000735792
51,3395.92,0.63525,0.44049,1.07905,0.99438,1,0.995,0.79401,0.80815,0.47913,1.26796,0.000721645,0.000721645,0.000721645
52,3462.16,0.67962,0.45769,1.08971,0.99555,1,0.995,0.78607,0.83745,0.4857,1.29785,0.000707498,0.000707498,0.000707498
53,3527.94,0.69213,0.45421,1.11351,0.9975,1,0.995,0.7966,0.81686,0.47203,1.27249,0.000693351,0.000693351,0.000693351
54,3593.95,0.63712,0.46014,1.08251,0.99769,1,0.995,0.79292,0.80672,0.43499,1.2703,0.000679204,0.000679204,0.000679204
55,3659.8,0.61906,0.4531,1.05931,0.99744,1,0.995,0.79464,0.81081,0.47511,1.27348,0.000665057,0.000665057,0.000665057
56,3725.63,0.65679,0.45176,1.08845,0.99737,1,0.995,0.79766,0.81268,0.47564,1.26449,0.000650909,0.000650909,0.000650909
57,3791.15,0.66117,0.44369,1.07671,0.99804,1,0.995,0.81187,0.78816,0.45313,1.23829,0.000636762,0.000636762,0.000636762
58,3856.78,0.63724,0.4282,1.06216,0.99698,1,0.995,0.82277,0.77034,0.43363,1.22053,0.000622615,0.000622615,0.000622615
59,3922.76,0.63769,0.41962,1.07288,0.99759,1,0.995,0.81739,0.79064,0.41913,1.26759,0.000608468,0.000608468,0.000608468
60,3988.49,0.62003,0.4215,1.06445,0.9976,1,0.995,0.80586,0.82848,0.42591,1.33342,0.000594321,0.000594321,0.000594321
61,4054.12,0.61448,0.42025,1.05971,0.99721,1,0.995,0.8074,0.80754,0.42267,1.29143,0.000580174,0.000580174,0.000580174
